City	Library	(Collection + ) Call Number	Witness to text	Specific contents	Main language	Date AH	Date CE	Inferred date		Place	Copyist name	Data from	Ownership	Input (or confirmation) date 	
London	Institute of Ismaili Studies 	Hamdani MS 1483 (Handlist 9) 	Risālat al-jāmiʿa	Volume 2								Vidi (Scan)			
London	Institute of Ismaili Studies 	Hamdani MS 1484 (Handlist 84/1+4) 	Risālat jāmiʿat al-jāmiʿa?	TBC, may not be related								Catalogue			
London	Institute of Ismaili Studies 	Hamdani MS 1541 [Handlist 123]‎	Rasāʾil ikhwān al-ṣafāʾ 	Brief extract in majmūʿa	Arabic							Catalogue		January 2024	https://special-collections.Institute of Ismaili Studies.ac.uk/Details/manuscripts/86
London	Institute of Ismaili Studies 	Hamdani MS 1662 [Handlist 105]‎	Rasāʾil ikhwān al-ṣafāʾ 	Extracts in majmūʿa	Arabic							Catalogue		January 2024	https://special-collections.Institute of Ismaili Studies.ac.uk/Details/manuscripts/154
London	Institute of Ismaili Studies 	MS 1000 	Risālat jāmiʿat al-jāmiʿa	Full copy	Arabic	1271/1854					ʿAbd Allāh b. Muḥammad Ḥamdūsh	Vidi (Scan)			
London	Institute of Ismaili Studies 	MS 1004	Risālat al-jāmiʿa	Partial (Volume 1) 		1378/1958				Burhanpur	Salām Ḥusayn b. Mullā Muḥammad ʿAlī al-Burhānpūrī	Vidi (Scan)			
London	Institute of Ismaili Studies 	MS 1033	Risāla majmūʿa min zubd Ikhwān al-ṣafāʾ	Extract in majmūʿa (TBC)								Catalogue			
London	Institute of Ismaili Studies 	MS 1040 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (first half + part of second half)		953/1546				Iran?	al-Ḥasan b. al-Nuʿmānī al-Ismāʿīlī	Vidi (Scan)			
London	Institute of Ismaili Studies 	MS 206	Rasālah min naẓm Ikhwān al-Ṣafā‎‎‎‎‎’‎ wa-khullān al-wafā‎‎‎‎‎’‎	Extracts and abridgements in majmūʿa	Arabic	1282/1866					Aḥmad Muḥammad al-‎Ḥājj Khādim al-‎‎‘‎Ilm al-Sharīf	Catalogue		January 2024	https://special-collections.Institute of Ismaili Studies.ac.uk/Details/manuscripts/474
London	Institute of Ismaili Studies 	MS 576	Rasāʾil ikhwān al-ṣafāʾ 	Full copy?	Arabic			11th/17th C				Catalogue		January 2024	https://special-collections.Institute of Ismaili Studies.ac.uk/Details/manuscripts/456
London	Institute of Ismaili Studies 	MS 659	Rasāʾil ikhwān al-ṣafāʾ (+ potentially other material?)	Abridgement of some sections of RIS	Arabic							Catalogue		January 2024	https://special-collections.Institute of Ismaili Studies.ac.uk/Details/manuscripts/439
London	Institute of Ismaili Studies 	MS 83 (E)	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Qism 3, risala 1-10)	Arabic			13th/19th C				Catalogue 		January 2024	https://special-collections.iis.ac.uk/Details/manuscripts/1404 
London	Institute of Ismaili Studies 	MS 84 (B)	Rasāʾil ikhwān al-ṣafāʾ 	Partial ("al-juzʾ al-rābiʿ = qism 2, (from?) risala 8)	Arabic	1239/1823				Amrīṭ	Ṭayyib ‘Alī ibn al-Ḥājj Mullā Ibrāhīm-jī Ḥakīm	Catalogue		January 2024	https://special-collections.iis.ac.uk/Details/manuscripts/1401
London	Institute of Ismaili Studies 	MS 85 (C)	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Qism 2, 2.1-2.7)	Arabic	1111/1699					Fāṭimah-jī bint Khān-jī.	Catalogue		January 2024	https://special-collections.iis.ac.uk/Details/manuscripts/1402 
London	Institute of Ismaili Studies 	MS 86 (D)	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Qism 2, 2.9-2.17)	Arabic			12th/18th C				Catalogue		January 2024	https://special-collections.iis.ac.uk/Details/manuscripts/1403 
